,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,지점0,지점번호0,latitude(지점)0,longitude(지점)0,지점1,지점번호1,latitude(지점)1,longitude(지점)1,지점2,지점번호2,latitude(지점)2,longitude(지점)2
37,4609,태백6호태양광발전소,0.8532,강원,강원 태백시 통동,37.164215,129.01923,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
38,328,(유)선그린태백5호,0.8532,강원,강원도 태백시 통동,37.164215,129.01923,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
39,4698,태백4호,0.9408,강원,강원도 태백시 통동,37.164215,129.01923,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
40,4655,태백3호,0.9408,강원,강원도 태백시 통동,37.164215,129.01923,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
41,33505,소매곡리태양광,0.34299999999999997,강원,강원 홍천군 북방면,37.70557,127.85318999999998,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
42,56243,준서 태양광,0.9792,강원,강원 홍천군 북방면,37.70557,127.85318999999998,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
43,40924,에스플랜트11호태양광,2.9952,강원,강원 홍천군 북방면,37.70557,127.85318999999998,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
44,56069,민결 태양광발전소,0.9132399999999999,강원,강원도 원주시 호저면,37.411034,127.92570500000001,원주,114,37.33749,127.94659,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
45,38688,씨그마렌텍3원주태양광,2.38734,강원,강원 원주시 호저면,37.411034,127.92570500000001,원주,114,37.33749,127.94659,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
46,7529,공산쏠라2 태양광,0.9990000000000001,강원,강원 원주시 소초면,37.41796,128.0024,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
47,56384,청명5호태양광,2.74752,강원,강원 원주시 소초면,37.41796,128.0024,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
48,7528,공산쏠라 태양광,0.9990000000000001,강원,강원 원주시 소초면,37.41796,128.0024,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
49,15394,대선태양광발전소,0.8812,강원,강원 원주시 소초면,37.41796,128.0024,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
50,4621,리치1호 태양광발전,1.50732,강원,강원 정선군 신동읍,37.2182,128.67143000000002,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
51,2219,정선 태양광,1.49796,강원,강원 정선군 신동읍,37.2182,128.67143000000002,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
52,3309,북평태양광,2.9952,강원,강원 동해시 구호동,37.482155,129.14526,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
53,1378,미래태양광,3.00294,강원,강원 춘천시 퇴계농공로,37.847824,127.74347,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
54,68064,춘천정비부대태양광#1,0.501,강원,강원 춘천시 신동면,37.817696,127.71603,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
55,68062,춘천정비부대태양광#2,0.418,강원,강원 춘천시 신동면,37.817696,127.71603,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
56,28494,삼포태양광발전소,0.0992,강원,강원도 춘천시 신동면,37.817696,127.71603,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
57,64773,피브이플랜트5호,0.8987200000000001,강원,강원 횡성군 갑천면,37.560955,128.1102,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
58,64778,피브이플랜트8호,0.8987200000000001,강원,강원 횡성군 갑천면,37.560955,128.1102,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
59,64774,피브이플랜트6호,0.8987200000000001,강원,강원 횡성군 갑천면,37.560955,128.1102,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
60,1456,제1야수교태양광,2.349,강원,강원 홍천군 동면,37.678074,127.93507,대관령,100,37.67713,128.71834,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
61,8320,광진쏠라4호태양광,2.4947,강원,강원 횡성군 서원면,37.48708,127.85055,원주,114,37.33749,127.94659,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
62,42426,영동에너지태양광,0.0992,강원,강원 횡성군 서원면,37.48708,127.85055,원주,114,37.33749,127.94659,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
63,49420,은성쏠라5호태양광,2.4947,강원,강원 횡성군 서원면,37.48708,127.85055,원주,114,37.33749,127.94659,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
64,56329,정선솔라팜태양광,2.0001,강원,강원 정선군 여량면,37.47212402,128.7221394,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459
65,35134,관대리습지형수상태양광,0.1113,강원,강원 인제군 남면,37.96588,128.08333000000002,북춘천,93,37.94738,127.75443,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
66,12782,남전인제태양광,0.3,강원,강원 인제군 남면,37.96588,128.08333000000002,북춘천,93,37.94738,127.75443,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
67,28465,삼척태양광,2.2032,강원,강원 삼척시 근덕면,37.37928,129.22583,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
68,28461,삼척GES태양광,0.9982,강원,강원 삼척시 근덕면,37.37928,129.22583,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
69,9105,궁촌2태양광,0.099,강원,강원 삼척시 근덕면,37.37928,129.22583,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
70,9103,궁촌1태양광,0.0992,강원,강원 삼척시 근덕면,37.37928,129.22583,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
71,55174,문막포진리태양광발전소,1.50453,강원,강원 원주시 문막읍,37.312626,127.8172,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
72,1644,원주메탈1기태양광,0.49896,강원,강원 원주시 문막읍,37.312626,127.8172,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
73,40501,문막포진리 태양광발전소 4호,0.99792,강원,강원 원주시 문막읍,37.312626,127.8172,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
74,1407,백광영월신재생,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
75,1379,미래영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
76,1203,덕원영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
77,1408,백광영월태양광,0.996,강원,강원 영월군 문곡리,37.23179,128.42935,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
78,2051,우진영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
79,38687,씨그마렌텍2영월태양광,1.76679,강원,강원 영월군 남면,37.186546,128.4045,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
80,35594,순자태양광발전소,0.09928,강원,강원 영월군 남면,37.186546,128.4045,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
81,35108,황지태양광,0.048,강원,강원 태백시,37.16401,128.98572,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
82,55972,관동대 태양광발전소,1.963125,강원,강원 강릉시 내곡동,37.738976,128.88098,강릉,105,37.75147,128.89099,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433
83,21395,원주그린솔라태양광,2.46375,강원,강원 원주시 부론면,37.207603,127.750496,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
84,355,솔라파크원주태양광,1.91808,강원,강원 원주시 부론면,37.207603,127.750496,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
85,4627,현대인구리태양광발전소,2.0169,강원,강원 양양군 현남면,37.96923,128.75948,북강릉,104,37.80456,128.85535,속초,90,38.25085,128.56473,울릉도,115,37.48129,130.89863
86,28170,삼성솔라2호태양광,0.998,강원,강원 양양군 현남면,37.96923,128.75948,북강릉,104,37.80456,128.85535,속초,90,38.25085,128.56473,울릉도,115,37.48129,130.89863
87,58224,지혜2호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
88,58223,지혜1호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
89,56101,사북하늘2호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
90,56102,사북하늘3호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
91,12485,삼척소내태양광#4,2.5992,강원,강원 삼척시 원덕읍,37.176456,129.33572,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
92,1524,삼호태양광발전,2.001,강원,강원 삼척시 원덕읍,37.176456,129.33572,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
93,12473,삼척소내태양광#3,2.00232,강원,강원 삼척시 원덕읍,37.176456,129.33572,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
94,12480,삼척소내태양광#2,0.99045,강원,강원 삼척시 원덕읍,37.176456,129.33572,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
95,12489,삼척그린파워태양광,0.9990000000000001,강원,강원 삼척시 원덕읍,37.176456,129.33572,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
96,55919,강경솔라팜원삼척1태양광,0.9009,강원,강원 삼척시 원덕읍,37.176456,129.33572,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
97,56428,태양 태양광발전소,2.20095,강원,강원 강릉시 왕산면,37.672684,128.8378,강릉,105,37.75147,128.89099,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433
98,7928,도마리1호태양광,2.106,강원,강원 강릉시 왕산면,37.672684,128.8378,강릉,105,37.75147,128.89099,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433
99,55993,대한에너지3호,0.99792,강원,강원 태백시 원동,37.265343,128.95103,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
100,56438,테라에너지제이호태양광,0.99792,강원,강원 태백시 원동,37.265343,128.95103,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
101,56439,테라에너지제일호태양광,0.99792,강원,강원 태백시 원동,37.265343,128.95103,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
102,31483,섬진2호태양광,0.4788,강원,강원 평창군 평창읍,37.3689,128.39723,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
103,47489,원희태양광,0.4788,강원,강원 평창군 평창읍,37.3689,128.39723,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
104,67119,지동리북 태양광발전소,0.9985799999999999,강원,강원 평창군 평창읍,37.3689,128.39723,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
105,45883,용화에너지 태양광발전기,0.868,강원,강원 영월군,37.183685,128.46178,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
106,12496,영월복합태양광#1,0.055,강원,강원 영월군,37.183685,128.46178,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
107,17811,동강태양광,0.099,강원,강원 영월군 주천면,37.272186,128.2689,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
108,11937,나래에너지태양광,0.09792000000000001,강원,강원 영월군 주천면,37.272186,128.2689,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
109,12476,영월 철도부지 태양광,1.1907,강원,강원 영월군 영월읍,37.187435,128.46606,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
110,56028,봉평이 태양광,0.9990000000000001,강원,강원도 평창군 봉평면,37.61619,128.37949,대관령,100,37.67713,128.71834,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
111,2720,무이태양광발전소,1.48104,강원,강원 평창군 봉평면,37.61619,128.37949,대관령,100,37.67713,128.71834,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
112,56029,봉평일 태양광,0.9990000000000001,강원,강원도 평창군 봉평면,37.61619,128.37949,대관령,100,37.67713,128.71834,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
113,56012,백운태양광발전소,2.47248,강원,강원 평창군 봉평면,37.61619,128.37949,대관령,100,37.67713,128.71834,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
114,61397,춘천태양광,2.898,강원,강원 춘천시 송암동,37.855312,127.69673,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
115,5698,강원솔라파크태양광,2.995,강원,강원 춘천시 송암동,37.855312,127.69673,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
116,5695,현천리태양광,0.80512,강원,강원 횡성군 둔내면,37.512215,128.21883,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
117,56408,kt원주연수원 태양광,0.3216,강원,강원 원주시 행구덕현길,37.33709,127.99869,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
118,2221,정옥햇빛태양광,2.298,강원,강원 정선군 임계면,37.494816,128.85211,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459
119,4619,디에스태양광6호,0.99234,강원,강원 인제군 기린면,37.955605,128.31918000000002,대관령,100,37.67713,128.71834,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714
120,64772,피브이플랜트10호,0.9856799999999999,강원,강원 인제군 기린면,37.955605,128.31918000000002,대관령,100,37.67713,128.71834,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714
121,2635,한국오지케이 태양광발전소,0.25137,강원,강원 원주시 지정면,37.362152,127.84018999999999,원주,114,37.33749,127.94659,양평,202,37.48863,127.49446,이천,203,37.26399,127.48421
122,33132,간현리태양광2호,1.9512900000000002,강원,강원 원주시 지정면,37.362152,127.84018999999999,원주,114,37.33749,127.94659,양평,202,37.48863,127.49446,이천,203,37.26399,127.48421
123,1884,에스엘피양지태양광,1.8512099999999998,강원,강원 원주시 흥업면,37.30255,127.92118,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
124,56449,화암태양광발전소 10호기,0.0992,강원,강원 정선군 화암면,37.340126,128.78778,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
125,29294,유천SG태양광,2.031575,강원,강원 정선군 여량면,37.470592,128.72052,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459
126,18270,동해시하수종말처리장태양광,2.417,강원,강원 동해시 공단1로,37.48127,129.15366,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
127,18280,동해바이오화력본부 태양광,1.992,강원,강원도 동해시,37.524742,129.1143,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
128,44949,와이엔솔라태양광,2.00196,강원,강원 춘천시 신북읍,37.925903,127.74621599999999,북춘천,93,37.94738,127.75443,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043
129,56309,이에스파워1호,2.74752,강원,강원 정선군 북평면,37.448895,128.67049,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459
130,4721,한교태양광,2.99592,강원,강원 정선군 정선읍,37.37977,128.6617,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
131,55920,강경솔라팜원삼척5태양광,1.26945,강원,강원 삼척시 미로면,37.41755,129.1125,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
132,2508,탑솔라태양광,0.70596,강원,강원 횡성군 공근면,37.536453,127.96177,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
133,787,가곡솔라태양광,0.99756,강원,강원 삼척시 가곡면,37.149757,129.20522,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
134,56393,최강일태양광,2.00124,강원,강원 영월군 상동읍,37.13188547,128.834203,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
135,58076,지이케이 태양광발전소,1.72638,강원,강원 평창군 방림면,37.42645,128.39423,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
136,61389,춘천MBC태양광,1.494,강원,강원 춘천시 수변공원길,37.874203,127.70602,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
137,24268,배두둑 태양광,0.09747,강원,강원 평창군 대화면,37.500946,128.45805,대관령,100,37.67713,128.71834,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
138,56254,오성태양광발전기,2.00178,강원,강원 영월군 중동면,37.145287,128.68053,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
139,65870,백산태양광발전기,0.996,강원,강원 태백시 백산동,37.146744,129.04837,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
140,1842,에너솔라태양광,0.36,강원,강원 춘천시 남산면,37.791866,127.646194,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
141,29873,안산목내태양광,0.18,경기,경기 안산시 단원구,37.321148,126.81532,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.49390764
142,29872,안산와동태양광,0.21,경기,경기 안산시 단원구,37.321148,126.81532,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.49390764
143,61888,광명전기태양광,0.5,경기,경기 안산시 단원구,37.321148,126.81532,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.49390764
144,39379,에너지타운 태양광,0.23676,경기,경기 안산시 단원구,37.321148,126.81532,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.49390764
145,39382,안산정수장태양광,0.537,경기,경기 안산시 단원구,37.321148,126.81532,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.49390764
146,29871,안산공단태양광,0.21,경기,경기 안산시 단원구,37.321148,126.81532,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.49390764
147,35137,시흥정수장태양광발전기,0.099,경기,경기 안산시 단원구,37.321148,126.81532,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.49390764
148,4695,주영태양광PV,0.23390999999999998,경기,경기 안산시 단원구,37.321148,126.81532,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.49390764
